price,city
1256.0,San Francisco
3005.0,San Francisco
966.0,San Francisco
1267.0,San Francisco
893.0,San Francisco
2187.0,San Francisco
2535.0,San Francisco
1297.0,San Francisco
934.0,San Francisco
1327.0,San Francisco
1314.0,San Francisco
2172.0,San Francisco
648.0,San Francisco
1267.0,San Francisco
931.0,San Francisco
2443.0,San Francisco
1924.0,San Francisco
1567.0,San Francisco
2342.0,San Francisco
1348.0,San Francisco
1683.0,San Francisco
604.0,San Francisco
2413.0,San Francisco
2050.0,San Francisco
1067.0,San Francisco
2564.0,San Francisco
1297.0,San Francisco
2564.0,San Francisco
3017.0,San Francisco
905.0,San Francisco
1276.0,San Francisco
1569.0,San Francisco
2692.0,San Francisco
2323.0,San Francisco
1810.0,San Francisco
1448.0,San Francisco
1177.0,San Francisco
2262.0,San Francisco
2051.0,San Francisco
1282.0,San Francisco
1810.0,San Francisco
1788.0,San Francisco
2866.0,San Francisco
2564.0,San Francisco
604.0,San Francisco
1318.0,San Francisco
1508.0,San Francisco
1207.0,San Francisco
1569.0,San Francisco
1246.0,San Francisco
1154.0,San Francisco
2716.0,San Francisco
2413.0,San Francisco
2112.0,San Francisco
2866.0,San Francisco
1210.0,San Francisco
2389.0,San Francisco
1139.0,San Francisco
1245.0,San Francisco
2564.0,San Francisco
2685.0,San Francisco
1326.0,San Francisco
1267.0,San Francisco
1626.0,San Francisco
2440.0,San Francisco
1177.0,San Francisco
722.0,San Francisco
2413.0,San Francisco
1358.0,San Francisco
690.0,San Francisco
898.0,San Francisco
1539.0,San Francisco
1448.0,San Francisco
1358.0,San Francisco
2473.0,San Francisco
1843.0,San Francisco
1147.0,San Francisco
1464.0,San Francisco
1290.0,San Francisco
2692.0,San Francisco
991.0,San Francisco
1569.0,San Francisco
2002.0,San Francisco
612.0,San Francisco
1542.0,San Francisco
1125.0,San Francisco
1000.0,San Francisco
604.0,San Francisco
2262.0,San Francisco
3017.0,San Francisco
905.0,San Francisco
2101.0,San Francisco
1056.0,San Francisco
590.0,San Francisco
1470.0,San Francisco
1810.0,San Francisco
1810.0,San Francisco
1208.0,San Francisco
3005.0,San Francisco
1448.0,San Francisco
3005.0,San Francisco
1576.0,San Francisco
1790.0,San Francisco
1055.0,San Francisco
929.0,San Francisco
1208.0,San Francisco
2554.0,San Francisco
1090.0,San Francisco
2716.0,San Francisco
1667.0,San Francisco
1339.0,San Francisco
2408.0,San Francisco
1358.0,San Francisco
923.0,San Francisco
972.0,San Francisco
1344.0,San Francisco
1578.0,San Francisco
2082.0,San Francisco
2462.0,San Francisco
887.0,San Francisco
972.0,San Francisco
2389.0,San Francisco
2280.0,San Francisco
2172.0,San Francisco
1834.0,San Francisco
1689.0,San Francisco
2413.0,San Francisco
1129.0,San Francisco
1267.0,San Francisco
1358.0,San Francisco
1333.0,San Francisco
1130.0,San Francisco
1035.0,San Francisco
860.0,San Francisco
1626.0,San Francisco
2172.0,San Francisco
1410.0,San Francisco
1210.0,San Francisco
604.0,San Francisco
1403.0,San Francisco
2986.0,San Francisco
2202.0,San Francisco
2142.0,San Francisco
1901.0,San Francisco
960.0,San Francisco
2462.0,San Francisco
1055.0,San Francisco
1086.0,San Francisco
997.0,San Francisco
1402.0,San Francisco
1807.0,San Francisco
1290.0,San Francisco
2506.0,San Francisco
1154.0,San Francisco
1424.0,San Francisco
2746.0,San Francisco
1358.0,San Francisco
1418.0,San Francisco
1344.0,San Francisco
1303.0,San Francisco
1540.0,San Francisco
1810.0,San Francisco
2896.0,San Francisco
1000.0,San Francisco
1689.0,San Francisco
997.0,San Francisco
2688.0,San Francisco
1358.0,San Francisco
1267.0,San Francisco
2012.0,San Francisco
1448.0,San Francisco
690.0,San Francisco
1434.0,San Francisco
1113.0,San Francisco
960.0,San Francisco
1402.0,San Francisco
1358.0,San Francisco
1116.0,San Francisco
1000.0,San Francisco
2986.0,San Francisco
960.0,San Francisco
841.0,San Francisco
2012.0,San Francisco
1225.0,San Francisco
2203.0,San Francisco
2688.0,San Francisco
1504.0,San Francisco
2686.0,San Francisco
1402.0,San Francisco
876.0,San Francisco
1212.0,San Francisco
2413.0,San Francisco
2655.0,San Francisco
1461.0,San Francisco
1531.0,San Francisco
812.0,San Francisco
2716.0,San Francisco
1115.0,San Francisco
672.0,San Francisco
2924.0,San Francisco
1564.0,San Francisco
1303.0,San Francisco
1115.0,San Francisco
2514.0,San Francisco
1504.0,San Francisco
2112.0,San Francisco
1358.0,San Francisco
1611.0,San Francisco
1689.0,San Francisco
1267.0,San Francisco
2408.0,San Francisco
1212.0,San Francisco
1375.0,San Francisco
1901.0,San Francisco
898.0,San Francisco
2203.0,San Francisco
2835.0,San Francisco
1418.0,San Francisco
885.0,San Francisco
2872.0,San Francisco
1334.0,San Francisco
2413.0,San Francisco
2624.0,San Francisco
1410.0,San Francisco
2968.0,San Francisco
2896.0,San Francisco
1000.0,San Francisco
604.0,San Francisco
1086.0,San Francisco
1048.0,San Francisco
905.0,San Francisco
2172.0,San Francisco
3016.0,San Francisco
1882.0,San Francisco
2624.0,San Francisco
960.0,San Francisco
1786.0,San Francisco
1358.0,San Francisco
2031.0,San Francisco
2262.0,San Francisco
878.0,San Francisco
1607.0,San Francisco
887.0,San Francisco
2262.0,San Francisco
1013.0,San Francisco
875.0,San Francisco
1645.0,San Francisco
736.0,San Francisco
1478.0,San Francisco
2323.0,San Francisco
1849.0,San Francisco
1792.0,San Francisco
1383.0,San Francisco
1641.0,San Francisco
1079.0,San Francisco
1866.0,San Francisco
1000.0,San Francisco
997.0,San Francisco
2716.0,San Francisco
2414.0,San Francisco
2262.0,San Francisco
812.0,San Francisco
2655.0,San Francisco
3016.0,San Francisco
860.0,San Francisco
1478.0,San Francisco
1602.0,San Francisco
1424.0,San Francisco
1991.0,San Francisco
2051.0,San Francisco
2927.0,San Francisco
2293.0,San Francisco
1282.0,San Francisco
2414.0,San Francisco
1358.0,San Francisco
1169.0,San Francisco
1013.0,San Francisco
1000.0,San Francisco
1328.0,San Francisco
1659.0,San Francisco
1129.0,San Francisco
1398.0,San Francisco
1394.0,San Francisco
1418.0,San Francisco
2775.0,San Francisco
2160.0,San Francisco
2926.0,San Francisco
1968.0,San Francisco
2262.0,San Francisco
2716.0,San Francisco
2624.0,San Francisco
1267.0,San Francisco
1013.0,San Francisco
1000.0,San Francisco
2282.0,San Francisco
2986.0,San Francisco
604.0,San Francisco
1000.0,San Francisco
1471.0,San Francisco
887.0,San Francisco
283.0,Seoul
552.0,Seoul
437.0,Seoul
314.0,Seoul
154.0,Seoul
362.0,Seoul
543.0,Seoul
254.0,Seoul
328.0,Seoul
514.0,Seoul
206.0,Seoul
531.0,Seoul
533.0,Seoul
216.0,Seoul
318.0,Seoul
507.0,Seoul
393.0,Seoul
385.0,Seoul
206.0,Seoul
360.0,Seoul
216.0,Seoul
206.0,Seoul
824.0,Seoul
631.0,Seoul
318.0,Seoul
337.0,Seoul
400.0,Seoul
707.0,Seoul
802.0,Seoul
411.0,Seoul
214.0,Seoul
401.0,Seoul
385.0,Seoul
319.0,Seoul
296.0,Seoul
505.0,Seoul
698.0,Seoul
439.0,Seoul
654.0,Seoul
1161.0,Seoul
359.0,Seoul
400.0,Seoul
630.0,Seoul
